word,definition,ner,root_word,pos
SOCIETY,aggregate of people living together in more,,society,NN
BUILD,construct by putting things together,,build,NN
BOOKSTORE,a shop where books are sold,,bookstore,NN
PINTEREST,American image sharing and social media service,I-ORG,pinterest,NN
WATER,"colourless, transparent, odourless liquid",,water,NN
OWNER,person who owns something,,owner,NN
SHORT,measuring small distance from end to end,,short,JJ
DIVERSITY,state of being diverse,,diversity,NN
ARMED FORCES,"a country's army, navy, and air force",,armed forces,NNS
GO,leave,,go,VB
WITHDRAW,remove or take away something from particular place or position,,withdraw,NN
GALAXY,system of millions or billions of stars,,galaxy,NN
RINGS,small circular band,,ring,NNS
CURLY HAIR,"Hair that's curly is wavy, coiled, or spiral-shaped",,curly hair,NN
RESPECT,feeling of deep admiration for person or thing elicited by their abilities or achievements,,respect,NN
NATURAL,existing in or derived from nature,,natural,JJ
EQUAL,be the same as,,equal,JJ
DIRECT,extending or moving from one place to another by the shortest way without changing direction or stopping,,direct,JJ
YOU,used to refer to any person in general,,you,PRP
BOAR,wild pig,,boar,NN
CONVERSATION,talk between people,,conversation,NN
BRAIN,organ in skull,,brain,NN
SECURITY,state of being free from danger or threat,,security,NN
AUTO,automatic mode of operation,,auto,NN
FRECKLE,small patch of light brown colour on skin,,freckle,NN
TRUE,in accordance with fact or reality,,true,JJ
ASSEMBLE,fit together the separate component parts of (a machine or other object),,assemble,JJ
GIRAFFE,large African mammal with very long neck,I-MISC,giraffe,NN
PUT AWAY,place in particular position,,put away,NN
OTHER,denoting person or thing distinct from one already mentioned,,other,JJ
ATE,past of eat,,ate,NN
COLLECT,bring or gather together (a number of things),,collect,NN
DEEPER,extending far down from the top or surface.,,deeper,NN
WASHINGTON DC,capital of US,I-LOC,washington dc,NN
OUR,belonging to speaker and one or more others people,,our,PRP$
COLD,of or at low temperature,,cold,NN
CHAIR,seat,,chair,NN
SOUTH AFRICA,South Africa is a country on the southernmost tip of the African continent.,I-LOC,south africa,NN
MENU,list of dishes available in restaurant,,menu,NN
NATIVE AMERICANS,member of indigenous peoples of Americas,,native americans,NNS
ACCOUNT MANAGER,An account manager (AM) is a person who works for a company and is responsible for the management of sales and relationships with particular customers. ,,account manager,NN
HERE,"in, at, or to this place",,here,RB
EARLY,happening before usual time,,early,RB
COMPUTER,electronic device for storing and processing data,,computer,NN
PRODUCTION,action of making or manufacturing from components or raw materials,,production,NN
WHERE,in or to what place or position,,where,WRB
BEEHIVE,structure in which bees are kept,,beehive,NN
ANNOYANCE,feeling or state of being annoyed,,annoyance,NN
THANKSGIVING,annual national holiday marked by religious observances,,thanksgiving,VBG
REPORT,give spoken or written account of something,,report,NN
NEED,thing that is needed,,need,NN
EMERGENCY,serious and unexpected situation,,emergency,NN
BB-8,Character from Star Wars,,bb-8,NN
AUTHOR,writer of book etc.,,author,NN
HANGOUT,place one lives in or frequently visits,,hangout,NN
LIFE,state of living,,life,NN
DELIGHTED,feeling or showing great pleasure,,delighted,JJ
NONE,not any,,none,NN
SUPRISE,cause someone to feel mild astonishment or shock,,suprise,NN
TECHNICIAN,person employed to look after technical equipment or do practical work in laboratory,,technician,JJ
FULL,having no empty space,,full,JJ
SOUP,liquid dish made by boiling meat or vegetables in stock,,soup,NN
NEXT,coming after in time,,next,JJ
WHEN,at what time,,when,WRB
KITTEN,young cat,,kitten,VB
ARABIC,Semitic language of Arabs,I-MISC,arabic,NN
ABIDE,accept or act in accordance with,,abide,NN
VISIT,act of going to see person or place as guest,,visit,NN
EXTRA,additional,,extra,JJ
SILVER,of the colour of silver,,silver,NN
RESPONSIBLE,"having obligation to do something, or having control over or care for someone, as part",,responsible,JJ
FOR,because,,for,IN
BECOME,begin to be,,become,NN
SAME LEVEL, something being equal with something else,,same level,NN
PILL,round piece of solid medicine,,pill,NN
POOL,game played on billiard table,,pool,NN
OLD,the age of a person ,,old,JJ
USER,person who uses or operates something,,user,NN
A YEAR FROM NOW,It means 'within 12 months' because 'This time next year' means literally 365 days from now.,,a year from now,NN
NORMAL,usual or typical,,normal,JJ
BADLY BEHAVED,to conduct (oneself) badly or improperly.,,badly behaved,VBN
SISTER,woman or girl in relation to other daughters and sons of her parents,,sister,NN
ANNIHILATE,destroy utterly,,annihilate,NN
BACK OF MIND,"Intending to do something, but not actively thinking about it ",,back of mind,NN
ABLE,"having power, skill, means, or opportunity to do something",,able,JJ
STAIRS,set of steps leading from one floor of building to another,,stair,NNS
EXPANSION,the action of becoming larger or more extensive,,expansion,NN
SECRETARY,"person employed by individual or in office to assist with correspondence, make appointments, and carry out administrative tasks",,secretary,NN
POINT FORWARD,direct someone's attention towards something by extending one's finger or something held in one's hand,,point forward,NN
EMAIL,send email to,,email,NN
MEN,adult human males,,men,NNS
COUCH,long upholstered piece of furniture,,couch,NN
BARISTA,person who serves in coffee bar,,barista,NN
BATTY,mad,I-PER,batty,NN
SAVE,"to store something, preserve",,save,VB
SWEETHEART,person with whom someone is having relationship,,sweetheart,NN
SCARE,cause great fear or nervousness in,,scare,NN
BAKE,cook food by dry heat,,bake,NN
PERFECT,as good as is possible,,perfect,NN
TRUE,truly,,true,JJ
MAY,expressing possibility,,may,MD
POTENTIAL,having capacity to develop,,potential,JJ
PASTA,dish consisting of dough made from durum wheat,,pasta,NN
KEEP,have or retain possession of,,keep,VB
USER,person who uses or operates something,,user,NN
AUTHENTICITY,quality of being authentic,,authenticity,NN
HISTORIAN,"an expert in or student of history, especially that of a particular period, geographical region, or social phenomenon",,historian,NN
INJURY,instance of being injured,,injury,NN
DINNER,main meal of day,,dinner,NN
TEACH,impart knowledge to or instruct someone as to how to do something,,teach,NN
CLOUD,mass of condensed watery vapour,,cloud,NN
TOILET,large bowl for urinating or defecating into,,toilet,NN
READ,period or act of reading something,,read,NN
VALUE,regard that something is held to deserve,,value,NN
BOLD,confident and courageous,,bold,NN
EARRING,piece of jewellery worn on lobe or edge of ear,,earring,VBG
AT THE SAME TIME,at same time,,at the same time,NN
CELL PHONE,mobile phone,,cell phone,NN
LESSON,teach,,lesson,NN
ROOM,space that can be occupied or where something can be done,,room,NN
ST PATRICK'S DAY,religious and cultural holiday held on 17 March,I-PER,st patrick's day,NN
EAT,put food into the mouth,,eat,NN
HER,female person or animal previously mentioned,,her,PRP$
UNDIFFERENTIATED,not different or differentiated,,undifferentiated,JJ
BIRD,vertebrate able to fly,,bird,NN
SURPRISE,cause someone to feel mild astonishment or shock,,surprise,NN
BEARD,hair on man's face,,beard,NN
V-NECK,neckline having straight sides meeting at point,,v-neck,NN
FOX,carnivorous mammal,,fox,NN
CONTACT,communicate with,,contact,NN
U,twenty-first letter of alphabet,,u,NN
Q,seventeenth letter of alphabet,,q,NN
ADVICE,guidance or recommendations offered with regard to prudent action,,advice,NN
AUDITORIUM,"part of theatre, concert hall, or other public building",,auditorium,NN
STORE,shop of any size or kind,,store,NN
BACKUP,support,,backup,NN
BASIC,fundamental,,basic,JJ
VERY COMPLEX,consisting of many different connected parts,,very complex,NN
INTERSECTION,point common to lines that intersect,,intersection,NN
SLAVERY,the state of being a slave,,slavery,NN
FAKE,not genuine,,fake,NN
SMOKING,action or habit of inhaling and exhaling smoke of tobacco,,smoking,NN
POINT FRONT,direct someone's attention towards something by extending one's finger or something held in one's hand,,point front,NN
PROCESS,series of actions towards achieving something,,process,NN
APPEASE,pacify or placate someone by acceding to their demands,,appease,NN
BUSTLE,excited activity and movement,,bustle,NN
TIGER,"very large solitary cat with yellow-brown coat striped with black, native to forests of Asia but bec",I-PER,tiger,NN
SELECT,carefully choose as being best or most suitable,,select,NN
ATHLETE,person who is proficient in sports and other forms of physical exercise,,athlete,NN
DRINK,swallow liquid,,drink,NN
BRIDGE,structure crossing obstacle,,bridge,NN
BBQ,barbecue,,bbq,NN
HELP YOU,assist someone to do something,,help you,NN
BRUTALITY,savage physical violence; great cruelty,,brutality,NN
AGAIN AND AGAIN,once more,,again and again,NN
BILL OF RIGHTS,"English constitutional settlement of 1689, confirming deposition of James II and accession of William and Mary",,bill of rights,NNS
CONCLUSION,"the end or finish of an event, process, or text",,conclusion,NN
AISLE,passage between rows of seats in building,,aisle,NN
SEE THROUGH,not be deceived by,,see through,NN
BLACK AND BLUE,covered in livid bruises,,black and blue,NN
FAIR,treating people equally,,fair,NN
CAN'T,cannot,,can't,NN
SEND,cause to go or be taken to particular destination,,send,NN
INTRODUCTION,bringing of something into use for first time,,introduction,NN
G,seventh letter of alphabet,,g,NN
BASKETBALL,game in which goals are scored by throwing ball through hoop,,basketball,NN
BILL,statement of money owed,,bill,NN
SOMETIMES,"occasionally, rather than all of time",,sometimes,RB
SNOW,frozen water vapour falling in white flakes,,snow,NN
MIND-BLOWNING,"very exciting, impressive or surprising",,mind-blowning,NN
FOURTH,constituting number four in sequence,,fourth,JJ
QUESTION INDEX,a sentence worded or expressed so as to elicit information,,question index,NN
WHAT DO,asking for information specifying something,,what do,NN
CAVE,natural underground chamber in hillside or cliff,,cave,NN
TALKATIVE,fond of or given to talking,,talkative,NN
MODULES,standardized part used in construction of structure,,module,NNS
EVERYONE,every person,,everyone,NN
ORANGE,reddish yellow,,orange,NN
CONSISTENTLY,in every case or on every occassion,,consistently,RB
APPLICANT,person who makes formal application for something,,applicant,NN
POINT,full stop or similar punctuation mark,,point,NN
LONELY,sad because one has no friends or company,,lonely,RB
TRUE,accurate or exact,,true,JJ
ON,added to,,on,IN
HOMEWORK,schoolwork that pupil is required to do at home,,homework,NN
BIRTHDAY,anniversary of day on which person was born,,birthday,NN
DEMAND,insistent request,,demand,NN
SOURCE,obtain from a particular source,,source,NN
THOUSANDS,number equivalent to product of hundred and ten,,thousand,NNS
EARTHQUAKE,sudden violent shaking of ground as result of movements within earth's crust or volcanic action,,earthquake,NN
IDEA,suggestion of possible course of action,,idea,NN
BLANKET,bed covering,,blanket,NN
SEASON,each of four divisions of year,,season,NN
APPROVE,officially agree to or accept as satisfactory,,approve,VB
RESPONSIBILITY,state or fact of being accountable or to blame for something,,responsibility,NN
ACHE,pain,,ache,NN
1819,The year 1819,,1819,CD
BLOCKCHAIN,system in which transactions made in cryptocurrency are recorded,,blockchain,NN
BAD,unpleasant or unwelcome,,bad,JJ
BRAINY,having or showing intelligence,,brainy,NN
AIR,"invisible gaseous substance surrounding earth, mixture",,air,NN
PENNSYLVANIA,state of north-eastern US,I-LOC,pennsylvania,NN
PLEASE,cause to feel satisfied,,please,NN
CLOTHING STORE,A clothes shop or clothes store is any shop which sells items of ready-made clothing,,clothing store,NN
INCLUDE,comprise or contain as part of whole,,include,NN
RING,small circular band,,ring,NN
AFFIRMATION,action or process of affirming something,,affirmation,NN
EXISTING,in existence or operation at current time,,existing,VBG
ARDUOUS,involving or requiring strenuous effort,,arduous,JJ
BUILDING,structure with roof and walls,,building,NN
COIN,disc or piece of metal used as money,,coin,NN
PRIVATE,for or belonging to one person,,private,JJ
WONDERFUL,inspiring delight or admiration,,wonderful,NN
PHILOSOPHY,study of nature of knowledge and reality,,philosophy,NN
AFFECTIONATE,readily feeling or showing fondness or tenderness,,affectionate,NN
HELP,action of helping,,help,NN
WIG,covering for head made of real or artificial hair,,wig,NN
AMATEUR,person who engages in pursuit on unpaid basis,,amateur,NN
BEST THING SINCE SLICED BREAD,most excellent or desirable,,best thing since sliced bread,NN
ASSOCIATE,connect conceptually,,associate,NN
VIRGINIA,"state of eastern US, on Atlantic coast",I-LOC,virginia,NN
AHEAD,further forward in space,,ahead,RB
PAY,"give money for work, goods, etc.",,pay,NN
ASSISTANT,person who ranks below senior person,,assistant,NN
LOSE,be deprived of or cease to have,,lose,VB
NECK,part of body,,neck,NN
ALL AROUND,on or from every side or in every direction.,,all around,NN
FLAT,in or to horizontal position,,flat,JJ
