word,definition
BEST THING SINCE SLICED BREAD,most excellent or desirable
ASSOCIATE,connect conceptually
VIRGINIA,"state of eastern US, on Atlantic coast"
AHEAD,further forward in space
PAY,"give money for work, goods, etc."
ASSISTANT,person who ranks below senior person
LOSE,be deprived of or cease to have
NECK,part of body
ALL AROUND,on or from every side or in every direction.
FLAT,in or to horizontal position
BOTTOM,lowest point or part
CLOTHES,items worn to cover body
PICTURES,painting or drawing
SCARE,cause great fear or nervousness in
PASSION,very strong emotion
EMAIL,messages distributed by electronic means
SPREAD,extend over large or increasing area
BRING US,take someone or something to place
MOUNTAIN,large natural elevation of earth's surface rising abruptly from surrounding level
ANSWER KEY,"An assorted list of solutions to problems or exercises in a test, textbook, etc."
TO,approaching or reaching
VAGUE,"of uncertain, indefinite, or unclear character"
FORK,pronged implement for lifting food
DRINK,liquid swallowed for refreshment or nourishment
ALL HEART,to be very kind and generous. 
ADVANTAGE,favourable condition/circumstance
WEST,to or towards the west
SUN,star round which earth orbits
DISCONNECT SEAT BELT,break connection of seat belt 
PERSONALITY,individual's distinctive character
CALL IT QUITS,"agree or acknowledge that terms are now equal, especially on the settlement of a debt"
ALIEN,from another world
BROOKLYN,"a borough of New York City, at the southwestern corner of Long Island. The Brooklyn Bridge (built 1869?83) links Long Island with lower Manhattan"
PUT OXYGEN MASK ON,facial covering
ALLOCATE,distribute resources or duties for particular purpose
FOUNDATION,lowest load-bearing part of building
PAY,"give money for work, goods, etc."
GROUND,solid surface of earth
PROBLEM,unwelcome or harmful matter
HURT,physically injured
DOUBT,feeling of uncertainty
IN,expressing situation of being enclosed
BYE,a farewell remark.
AMEN,"uttered at end of prayer or hymn, meaning 'so be it'"
YESTERDAY,on day before today
COME HERE,move towards speaker
DYNAMIC,"characterized by constant change, activity, or progress"
WAIT,stay where one is or delay action until particular time or event
VALUABLE,thing that is of great worth
GROCERY STORE,grocer's shop or business
NO,giving negative response
RACE,major grouping into which humankind is considered to be divided
BUS,"a large motor vehicle carrying passengers by road, typically one serving the public on a fixed route and for a fare"
DROWN,die through submersion in water
COMPUTER,electronic device for storing and processing data
THIS,used to identify specific person or thing close at hand
COMPETITOR,person who takes part in sporting contest
BAR,long piece of hard material
OFF SEAT,moving away and often down from a seat
LUCK,success or failure brought by chance
TAN,brown shade of skin developed after exposure to sun
NUMBER,"arithmetical value expressed by word, symbol, or figure"
CHEST,front of upper body
PENGUIN,"large flightless seabird of southern hemisphere, with black upper parts and white underparts and win"
KNOW,past participle of know
TICKETS,piece of paper or card that gives holder certain rightt
SIZE,having specified size
SHE,"used to refer to woman, girl, or female animal"
AMERICA,used as name for United States
UNDERSTAND,perceive intended meaning of
VIDEO CALL,a call made on a smartphone or other device in which participants can see each other as well as hear
BODY COUNT,"A body count is the total number of people killed in a particular event. In combat, a body count is often based on the number of confirmed kills, but occasionally only an estimate."
SEEM,give impression of being something or having particular quality
TEACHER,person who teaches
COW-IT,"ASL idiom, hyperbole for taking a long time."
AIR FORCE,branch of armed forces concerned with fighting or defence in air
FASTEN,close or do up securely
WAIT,stay where one is or delay action until particular time or event
BEDROOM,room for sleeping in
ANNOYING,causing irritation or annoyance
NAVIGATE,"sail or travel over (a stretch of water or terrain), especially carefully or with difficulty."
TRANSACTION,instance of buying or selling something
OUTSIDE,external side or surface
ABS,abdominal muscle
MOUNTAIN,large natural elevation of earth's surface rising abruptly from surrounding level
FIREFIGHTER,person whose job is to extinguish fires
FRUGAL,sparing or economical as regards money or food
BASHFUL,reluctant to draw attention to oneself
PERSON,human being regarded as individual
THUNDER,loud rumbling or crashing noise heard after lightning flash due to expansion of rapidly heated air
EXPLOSIVE,able or likely to explode
UNIQUE,being only one of its kind
LOUISIANA,"state in southern US, on Gulf of Mexico"
AIRCRAFT,aeroplane or other machine capable of flight
TREE,woody perennial plant having trunk growing to considerable height
AROMA,distinctive smell
QUESTION,sentence worded or expressed so as to elicit information
CHEMICAL,relating to chemistry
CLOUD,mass of condensed watery vapour
MATCH,person or thing equal to another
NEWS,newly received or noteworthy information
CELEBRATE,acknowledge (a significant or happy day or event) with a social gathering or enjoyable activity
MOON,natural satellite of the earth
INTRODUCTION,bringing of something into use for first time
REINFORCED,strengthen object
THERE,"in, at, or to that place or position"
ADDRESS,consider/deal with
LANDLORD,person who rents out land or building
BEST OF BOTH WORLDS,of situation in which each party benefits in some way
CALL,contact by phone
HIGH SCHOOL,secondary school
DRESS,garment that covers body and extends down over thighs or legs
PICNIC,occasion when packed meal is eaten outdoors
BECOME,past tense: became
AFTER,in time following
RIGHT,true or correct as a fact
TREE,woody perennial plant having trunk growing to considerable height
APPROACH,come nearer to
AT ONE TIME,in or during a known but unspecified past period.
THAT,used to identify specific person or thing observed or heard by speaker
CLICK,press of mouse button
FULL,having no empty space
CHANGE,replace something with something else
BOWLING,action of bowling
THANK YOU,"polite expression used when acknowledging gift, service, or compliment"
ENGINEER,design and build (a machine or structure)
TRUE BIZ,"expression meaning “seriously” or “real talk"""
PASS,be successful in examination etc.
RELATIONSHIP,way in which two or more people or things are connected
PERSPECTIVE,point of view
FROM,indicating point where thing starts
BEGIN,do or experience first part of something
LEFT,left-hand part or direction
CONTENT,the things that are held or included in something
SPECIALIST,person who concentrates primarily on particular subject or activity
BLEMISHED,small mark or flaw which spoils appearance of something
BILLBOARD,large outdoor board for displaying advertisements
FLOWER,part of plant consisting of reproductive organs
ICE CREAM,"a type of sweet frozen food made from milk fat, tasting of fruit, chocolate, etc. and often eaten as a dessert"
ATMOSPHERE,gases surrounding the earth
ACCIDENT,unexpected incident
SIGNATURE,person's name written in distinctive way as form of identification
I,ninth letter of alphabet
KEY,implement for opening or closing lock
ENTER,come or go into
CLASS,group of students taught together
TURTLE,large marine reptile with shell and flippers
VEGETABLES,plants or part of plants used as food
DECIDE,make up one's mind
INTEREST,wanting to know about something
ENVIRONMENT,surroundings of living thing
PROJECTILE,relating to projectile
SEE,perceive with eyes
HATE,feel intense dislike for
HANDS,end part of person's arm including fingers
PLAY,engage in activity for recreation
PUBLIC,done in open view
BATCH,quantity of goods
CRAWL,act of crawling
BRAILLE,form of written language for blind people
FACT,thing that is known or proved to be true
APPEALING,attractive or interesting
BOW,simple knot
ADDRESS,particulars of place
WITHOUT,in absence of
MORGAN,Fingerspell name
LEG,lower limb
SHOOTING,action or practice of shooting
NOSE,projecting part on face containing nostrils
WORLD,"earth, together with all of its countries and peoples"
ASIA,largest of world's continents
